Ticker,Earnings DateTime,Recommendation,Expected Move,Short Leg,Long Leg
CTAS,2025-03-26 08:30:00-04:00,Recommended,5.48,"{'strike': np.float64(205.0), 'expiry': '2025-04-04', 'price': np.float64(1.48)}","{'strike': np.float64(205.0), 'expiry': '2025-05-02', 'price': np.float64(3.7)}"
DLTR,2025-03-26 08:30:00-04:00,Recommended,12.51,"{'strike': np.float64(67.0), 'expiry': '2025-04-04', 'price': np.float64(4.8)}","{'strike': np.float64(67.0), 'expiry': '2025-05-02', 'price': np.float64(6.92)}"
